"1172","{""imgs"": [{""url"": ""/images/TA7T1SHS/U1-L1-1-1-uoruettvmcmutnah.jpg""}], ""audio"": ""/audio/TA7T1SHS/U1-L1-1.mp3"", ""pageNumber"": ""6"", ""name"": ""1 Listen and read."", ""sentences"": [{""content"": ""[16.44]Hi[18.19] [18.19]Mi,[18.6] [18.91]welcome[19.39] [19.39]to[19.57] [19.57]our[19.8] [19.8]house![20.44]"", ""end"": ""20.44"", ""begin"": ""16.44"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[20.99]Come[21.31] [21.31]upstairs![22.06] [22.34]I\u2019ll[22.55] [22.55]show[22.86] [22.86]you[23.14] [23.14]my[23.41] [23.41]room.[23.9]"", ""end"": ""23.9"", ""begin"": ""20.99"", ""speaker"": ""Elena"", ""css"": """"}, {""content"": ""[24.61]Wow![25.25] [25.77]You[25.96] [25.96]have[26.18] [26.18]so[26.54] [26.54]many[26.92] [26.92]dolls.[27.77]"", ""end"": ""27.77"", ""begin"": ""24.61"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[28.13]Yes.[28.83] [29.1]My[29.35] [29.35]hobby[29.8] [29.8]is[29.95] [29.95]collecting[30.64] [30.64]dolls.[31.18] [31.56]Do[31.78] [31.78]you[32.04] [32.04]have[32.27] [32.27]a[32.34] [32.34]hobby?[32.87]"", ""end"": ""32.87"", ""begin"": ""28.13"", ""speaker"": ""Elena"", ""css"": """"}, {""content"": ""[33.5]I[33.73] [33.73]like[33.98] [33.98]collecting[34.6] [34.6]glass[34.96] [34.96]bottles.[35.8]"", ""end"": ""35.8"", ""begin"": ""33.5"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[36.17]Really?[36.95] [37.47]That\u2019s[37.82] [37.82]very[38.14] [38.14]unusual.[38.97] [39.54]Is[39.67] [39.67]it[39.86] [39.86]expensive?[40.81]"", ""end"": ""40.81"", ""begin"": ""36.17"", ""speaker"": ""Elena"", ""css"": """"}, {""content"": ""[41.35]Not[41.67] [41.67]at[41.83] [41.83]all,[42.22] [42.78]I[42.93] [42.93]just[43.19] [43.19]keep[43.54] [43.54]the[43.64] [43.64]bottles[44.18] [44.18]after[44.5] [44.5]we[44.75] [44.75]use[45.07] [45.07]them.[45.4] [46.19]What[46.43] [46.43]about[46.74] [46.74]doll[47.0] [47.0]collecting?[47.76] [48.14]Is[48.29] [48.29]it[48.44] [48.44]expensive?[49.53]"", ""end"": ""49.53"", ""begin"": ""41.35"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[50.26]I[50.58] [50.58]guess[50.91] [50.91]so,[51.55] [51.91]but[52.19] [52.19]all[52.42] [52.42]of[52.55] [52.55]my[52.89] [52.89]dolls[53.29] [53.29]are[53.39] [53.39]presents.[54.28] [54.8]My[54.99] [54.99]parents,[55.83] [55.83]and[55.96] [55.96]my[56.13] [56.13]aunt[56.48] [56.48]and[56.66] [56.66]uncle[57.34] [57.48]always[58.04] [58.04]give[58.24] [58.24]me[58.43] [58.43]dolls[58.79] [58.79]on[58.98] [58.98]special[59.48] [59.48]occasions.[60.48]"", ""end"": ""60.48"", ""begin"": ""50.26"", ""speaker"": ""Elena"", ""css"": """"}, {""content"": ""[61.05]Your[61.29] [61.29]dolls[61.75] [61.75]are[61.86] [61.86]all[62.16] [62.16]very[62.63] [62.63]different.[63.61]"", ""end"": ""63.61"", ""begin"": ""61.05"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[63.86]Yes,[64.54] [65.01]they\u2019re[65.21] [65.21]from[65.52] [65.52]all[65.77] [65.77]over[66.04] [66.04]the[66.16] [66.16]world![66.76]"", ""end"": ""66.76"", ""begin"": ""63.86"", ""speaker"": ""Elena"", ""css"": """"}, {""content"": ""[67.17]I[67.42] [67.42]don\u2019t[67.68] [67.68]know[67.99] [67.99]why[68.28] [68.28]girls[68.64] [68.64]collect[69.06] [69.06]things.[69.61] [69.94]It\u2019s[70.28] [70.28]a[70.33] [70.33]piece[70.7] [70.7]of[70.84] [70.84]cake.[71.38]"", ""end"": ""71.38"", ""begin"": ""67.17"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[72.05]Do[72.26] [72.26]you[72.41] [72.41]have[72.68] [72.68]a[72.78] [72.82]difficult[73.53] [73.53]hobby,[73.93] [73.93]Nick?[74.35]"", ""end"": ""74.35"", ""begin"": ""72.05"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[74.63]Yes,[75.32] [75.56]I[75.72] [75.72]enjoy[76.29] [76.29]mountain[76.88] [76.88]climbing.[77.46]"", ""end"": ""77.46"", ""begin"": ""74.63"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[78.39]But[78.6] [78.6]Nick,[79.17] [79.78]there[80.09] [80.09]are[80.15] [80.15]no[80.39] [80.39]mountains[81.26] [81.26]around[81.71] [81.71]here![82.22]"", ""end"": ""82.22"", ""begin"": ""78.39"", ""speaker"": ""Mi"", ""css"": """"}, {""content"": ""[82.54]I[82.76] [82.76]know.[83.22] [83.64]I\u2019m[83.72] [83.85]in[84.29] [84.29]a[84.35] [84.35]mountain[84.93] [84.93]climbing[85.46] [85.46]club.[85.99] [86.51]We[86.75] [86.75]travel[87.12] [87.12]to[87.27] [87.27]mountains[88.06] [88.06]around[88.42] [88.42]Viet[88.6] [88.6]Nam.[89.04] [89.6]In[89.82] [89.82]the[89.88] [89.88]future,[90.39] [90.44]I\u2019ll[90.59] [90.89]climb[91.5] [91.5]mountains[92.1] [92.1]in[92.31] [92.35]other[92.61] [92.61]countries[93.27] [93.27]too.[93.73]"", ""end"": ""93.73"", ""begin"": ""82.54"", ""speaker"": ""Nick"", ""css"": """"}]}","39","11","Unit 1 MY HOBBIES","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:04:14","2015-12-19 04:12:36",NULL,"7101011"
"1173","{""imgs"": [{""url"": ""/images/TA7T1SHS/U2-L1-1-1-eakiyqbqrptdkuyp.jpg""}], ""audio"": ""/audio/TA7T1SHS/U2-L1-1.mp3"", ""pageNumber"": ""16"", ""name"": ""1 Listen and read."", ""sentences"": [{""content"": ""[19.02]Hi,[21.16] [22.11]Phong.[24.36]"", ""end"": ""24.36"", ""begin"": ""19.02"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[25.27]Oh,[26.94] [26.94]hi.[27.85] [28.5]You[29.32] [29.78]woke[30.48] [31.01]me[31.2] [31.2]up,[31.46] [31.46]Nick.[31.9]"", ""end"": ""31.9"", ""begin"": ""25.27"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[31.9]But[32.29] [32.72]it\u2019s[33.02] [33.02]ten[33.24] [33.24]o\u2019clock[33.29] [33.29]already.[33.66] [33.66]Let\u2019s[34.29] [34.63]go[34.9] [34.9]out.[35.08]"", ""end"": ""35.08"", ""begin"": ""31.9"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[35.08]No,[35.7] [36.14]count[36.59] [36.86]me[37.19] [37.19]out.[37.42] [37.42]I[37.9] [38.09]think[38.35] [38.35]I\u2019ll[38.61] [38.61]stay[38.74] [38.74]at[38.99] [38.99]home[39.15] [39.15]and[39.46] [39.46]play[39.59] [39.59]Zooniverse[39.83] [39.83]on[40.04] [40.04]my[40.19] [40.19]computer.[40.53]"", ""end"": ""40.53"", ""begin"": ""35.08"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[40.53]What?[40.67] [40.67]It\u2019s[40.86] [40.86]such[41.58] [42.3]a[42.87] [43.29]beautiful[43.51] [43.51]day.[43.88] [43.88]Come[43.93] [43.93]on![44.58] [44.58]You[45.07] [45.35]already[45.62] [45.62]got[45.98] [46.71]enough[46.92] [46.92]sleep.[47.25] [47.25]Let\u2019s[47.55] [47.55]do[47.76] [47.76]something[48.28] [48.7]outdoors[49.09] [49.09]\u2013[49.2] [49.2]it\u2019s[49.67] [49.67]healthier.[50.56]"", ""end"": ""50.56"", ""begin"": ""40.53"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[50.7]What[50.97] [50.97]like,[51.46] [52.38]Nick?[52.67]"", ""end"": ""52.67"", ""begin"": ""50.7"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[52.67]How[53.05] [53.05]about[53.6] [54.12]going[54.39] [54.39]swimming?[54.67] [54.67]Or[55.04] [55.04]cycling?[55.69] [55.87]They[56.01] [56.01]are[56.73] [57.34]both[57.47] [57.47]really[57.57] [57.57]healthy.[58.02]"", ""end"": ""58.02"", ""begin"": ""52.67"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[58.02]No,[58.53] [58.53]I[59.13] [59.91]don\u2019t[60.43] [60.43]feel[60.68] [60.68]like[60.87] [60.87]it.[61.17]"", ""end"": ""61.17"", ""begin"": ""58.02"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[61.17]You[61.53] [61.53]sound[61.74] [62.37]down[62.55] [62.55]Phong,[62.97] [62.97]are[63.36] [63.36]you[63.86] [63.86]OK?[63.89]"", ""end"": ""63.89"", ""begin"": ""61.17"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[64.09]I[64.34] [64.34]do[64.56] [64.56]feel[64.89] [65.28]kind[65.73] [65.73]of[66.18] [66.18]sad.[66.59] [66.59]I[66.68] [66.68]eat[67.23] [67.79]junk[68.02] [68.02]food[68.15] [68.15]all[68.47] [68.47]the[68.7] [68.7]time,[69.07] [69.07]so[69.21] [69.21]I\u2019m[69.6] [69.79]putting[70.02] [70.02]on[70.1] [70.13]weight[70.46] [70.48]too.[70.66]"", ""end"": ""70.66"", ""begin"": ""64.09"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[70.66]All[70.92] [70.95]the[71.44] [72.07]more[72.3] [72.3]reason[72.4] [72.4]to[72.58] [72.58]go[72.98] [72.98]out.[73.11]"", ""end"": ""73.11"", ""begin"": ""70.66"", ""speaker"": ""Nick"", ""css"": """"}, {""content"": ""[73.11]No,[73.29] [73.29]Nick.[73.93] [74.35]Plus,[74.71] [74.71]I[75.18] [75.64]think[76.09] [76.09]I[76.23] [76.23]have[76.61] [76.61]flu[76.7] [76.7]\u2013[76.9] [76.9]I[77.48] [77.7]feel[77.95] [77.95]weak[78.33] [78.33]and[78.6] [78.6]tired.[78.85] [78.85]And,[79.48] [79.9]I[80.13] [80.13]might[80.2] [80.2]get[80.55] [80.55]sunburnt[80.77] [80.77]outside.[81.28]"", ""end"": ""81.28"", ""begin"": ""73.11"", ""speaker"": ""Phong"", ""css"": """"}, {""content"": ""[81.28]I[81.52] [81.52]won\u2019t[82.21] [82.47]take[82.65] [82.65]no[83.08] [83.08]for[83.3] [83.3]an[83.5] [83.5]answer.[83.67] [83.67]I\u2019m[83.73] [83.73]coming[84.11] [84.11]to[84.22] [84.6]your[85.16] [85.16]house[85.31] [85.31]now![85.54]"", ""end"": ""85.54"", ""begin"": ""81.28"", ""speaker"": ""Nick"", ""css"": """"}]}","39","11","Unit 2 HEALTH","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:09:20","2015-12-19 04:13:18",NULL,"7102011"
"1174","{""name"":""1 Listen and read."",""imgs"":[{""url"":""/images/TA7T1SHS/U3-L1-1-1-htizgeqpgbovqroq.jpg""}],""sentences"":[{""content"":""Today on Global Citizen we interview Mai and Phuc from Hai Ba Trung School. Hi Mai, could you tell us about community service?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""It’s the work you do for the benefits of the community."",""speaker"":""It’s the work you do for the benefits of the community."",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Have you ever done volunteer work?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" Yes. I’m a member of Be a Buddy a programme that helps street children. Last year we provided evening classes for fifty children."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Wonderful! What else have you done?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""We’ve asked people to donate books and clothes to the children."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Wow, that certainly makes a difference. And you Phuc, you’re from Go Green?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Yes, it’s a non-profit organisation that protects the environment. We’ve encouraged people to recycle glass, cans, and paper. We’ve cleaned streets and lakes."",""speaker"":""Phuc"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Did you start a community garden project last month?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Oh yes, so far we’ve planted."",""speaker"":""Phuc"",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""/audio/TA7T1SHS/U3-L1-1.mp3"",""pageNumber"":""26""}","39","11","Unit 3 COMMUNITY SERVICE","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:17:04","2015-12-19 04:13:02",NULL,"7103011"
"1175","{""name"":""1 Listen and read."",""imgs"":[{""url"":""/images/TA7T1SHS/U4-L1-1-1-haewzapurqxfmaho.jpg""}],""sentences"":[{""content"":""Hi Duong. How are things?"",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" Good. Oh, have you visited the Crazy Paint art gallery recently?"",""speaker"":""Duong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""No, I haven’t. I heard that it’s not as good as it was before."",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Oh no! It’s great! I went there last weekend. The paintings are excellent! So what shall we do this weekend?"",""speaker"":""Duong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Let me see. The La La Las are playing at the Young Club, let’s go!"",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""But we can watch the concert live on TV."",""speaker"":""Duong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Oh, come on! It’s quite different to be there in person - the musicians, the crowd, the colourful lights, the atmosphere … it will be fantastic!"",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" I don’t like so much noise, Nick. Loud pop music really isn’t my thing."",""speaker"":""Duong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Come on, Duong. It will be exciting!"",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""How about going to the cinema? I like films."",""speaker"":""Duong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Me too. OK, we can go to the cinema if I get to choose the film!"",""speaker"":""Nick"",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""/audio/TA7T1SHS/U4-L1-1.mp3"",""pageNumber"":""38""}","39","11","Unit 4 MUSIC AND ARTS","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:22:03","2015-12-19 04:17:20",NULL,"7104011"
"1176","{""name"":""1 Listen and read."",""imgs"":[{""url"":""""}],""sentences"":[{""content"":""Dad and I are going to the opera tonight and we won’t be home until 9 p.m. You’ll have to eat dinner alone. There’s some food for you in the fridge."",""speaker"":""Phong’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""OK. Like what, Mum?"",""speaker"":""Phong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Some meat with tofu and some fried vegetables. I’m afraid there isn’t any bread left, but you can have noodles instead."",""speaker"":""Phong’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Er, but I usually have rice, Mum."",""speaker"":""Phong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""There’s some rice left from lunch. Just warm it up."",""speaker"":""Phong’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" All right, Mum. What is there to drink? "",""speaker"":""Phong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""There’s milk, juice, or mineral water."",""speaker"":""Phong’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""How much milk is there?"",""speaker"":""Phong"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Oh, I forgot... There isn’t any milk left. I’ll buy some tomorrow. You can have some orange juice instead. How many cartons do you want?"",""speaker"":""Phong’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" One... No, wait, two please."",""speaker"":""Phong"",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""/audio/TA7T1SHS/U5-L1-1.mp3"",""pageNumber"":""48""}","39","11","Unit 5 VIETNAMESE FOOD AND DRINK","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:26:51","2015-12-19 04:18:41",NULL,"7105011"
"1177","{""name"":"" 6: THE FIRST UNIVERSITY IN VIET NAM "",""imgs"":[{""url"":""/images/TA7T1SHS/U6-L1-1-1-pglqvklzrcmxpsbm.jpg""}],""sentences"":[{""content"":""What are you doing, Mai?"",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" I’m preparing for a trip to the Temple of Literature and the Imperial Academy."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Oh, I see. You know that it’s a famous historic and cultural place."",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Of course, Mum."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" Did you know that it was started in the 11th century? The Imperial Academy is considered the first university in Viet Nam."",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Yeah, we learned about that in school. Mum, this is the list of the things I plan to take with me."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Let me have a look. … You definitely don’t need an umbrella. It’s winter and there’s not much rain."",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Will it be cold?"",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Yes, it’s a good idea to take warm clothes."",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":"" I see."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""The Temple of Literature is a beautiful place. It’s surrounded by trees and contains many interesting things. You’d better take the camera."",""speaker"":""Mai’s mum"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""I will, Mum."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""/audio/TA7T1SHS/U6-L1-1.mp3"",""pageNumber"":""58""}","39","11","Unit 6 THE FIRST UNIVERSITY IN VIET NAM","GETTING STARTED","1 Listen and read.",,"2015-10-18 17:32:10","2015-12-19 04:17:37",NULL,"7106011"
"2487","{""name"":""1a Listen again to part of the conversation. Underline the past simple or the present perfect. "",""pageNumber"":""29"",""imgs"":[{""url"":""""}],""sentences"":[{""content"":""Have you ever done volunteer work?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Yes. I’m a member of Be a Buddy - a programme that helps street children. Last year we provided evening classes for fifty children."",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""Wonderful! What else have you done?"",""speaker"":""Reporter"",""css"":"""",""begin"":"""",""end"":""""},{""content"":""We’ve asked people to donate books and clothes to the children. "",""speaker"":""Mai"",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""""}","39","11","Unit 3 COMMUNITY SERVICE","A CLOSER LOOK 2","1a Listen again to part of the conversation. Underline the past simple or the present perfect.",,"2015-11-13 09:03:50","2015-11-14 13:49:37",NULL,"7103031"
"3404","{""name"":""1 Read the text about volunteer work in the United States."",""pageNumber"":""32"",""imgs"":[{""url"":""/images/TA7T1SHS/U3-L5-1-1-hgktynitoeghdpou.jpg""}],""sentences"":[{""content"":""In the United States, almost everyone, at one time or another, has been a volunteer. According to U.S. government statistics, about one-fifth of the American population does volunteer work each year. Americans have had the tradition of volunteering and helping one another since the early days of the country. Americans volunteer not because they are forced or paid to do it. They enjoy it! Traditional volunteer activities include raising money for people in need, cooking and giving food, doing general labour (such as clean-up projects and home repair), providing transportation (such as giving rides to the elderly), and tutoring/mentoring young people. (adapted from “Volunteering: An American Tradition” by Susan J. Ellis and Katherine H. Campbell in eJournal USA: The Spirit of Volunteerism. U.S. Department of State, 2012)."",""speaker"":"""",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""""}","39","11","Unit 3 COMMUNITY SERVICE","SKILLS 1","1 Read the text about volunteer work in the United States.",,"2015-11-30 15:50:26","2015-11-30 15:53:33",NULL,"7103051"
"3429","{""name"":""2 Read the following passage. In groups, discuss the questions below."",""pageNumber"":""43"",""imgs"":[{""url"":""""}],""sentences"":[{""content"":""Today, schools in several countries are considering the question of whether subjects like music and arts should be among those in the curriculum. For many people, a good knowledge of music and arts is regarded as a necessity for anyone who wants to be truly educated. Some say that students who are good at music and arts actually do better in more academic subjects like maths and science. However, some people see music and arts as an unimportant part of education since they don’t prepare students for a life of work."",""speaker"":"""",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""""}","39","11","Unit 4 MUSIC AND ARTS","COMMUNICATION","2 Read the following passage. In groups, discuss the questions below.",,"2015-12-02 07:25:46","2015-12-02 07:27:05",NULL,"7104042"
"3433","{""name"":""1 Read Phong’s blog. Find the words from the box below in the text and underline them. Use the words around each underlined word to help you understand the meaning."",""pageNumber"":""54"",""imgs"":[{""url"":""/images/TA7T1SHS/U5-L5-1-2-rqrqocshjuhcmcxh.jpg""},{""url"":""/images/TA7T1SHS/U5-L5-1-3-uwhjamdlfmpfclmj.jpg""},{""url"":""/images/TA7T1SHS/U5-L5-1-4-wnhxblietrnhnzij.jpg""},{""url"":""/images/TA7T1SHS/U5-L5-1-5-svwuexthpmqtwnmh.jpg""},{""url"":""/images/TA7T1SHS/U5-L5-1-6-kqnzrsywuhygyjht.jpg""}],""sentences"":[{""content"":""Sun, Feb 24,... PHO - A POPULAR DISH IN HA NOI. Among the many special dishes in Ha Noi, pho is the most popular. It is a special kind of Vietnamese soup. We can enjoy pho for all kinds of meals during the day, from breakfast to dinner, and even for a late night snack. Pho has a very special taste. The rice noodles are made from the best variety of rice. The broth for pho bo (beef noodle soup) is made by stewing the bones of cows for a long time in a large pot. The broth for another kind of pho, pho ga (chicken noodle soup) is made by stewing chicken bones. The chicken meat served with pho ga is boneless and cut into thin slices... It's so delicious! Tell me about a popular dish where you live! Posted by Phong at 5:30 p.m."",""speaker"":"""",""css"":"""",""begin"":"""",""end"":""""}],""audio"":""""}","39","11","Unit 5 VIETNAMESE FOOD AND DRINK","SKILLS 1","1 Read Phong’s blog. Find the words from the box below in the text and underline them. Use the words around each underlined word to help you understand the meaning.",,"2015-12-02 08:16:12","2015-12-02 08:19:33",NULL,"7105051"
